犬柳磊荐,瘤开,厚啦,窜拌
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
3.0,面合,1.841232938675282e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
3.0,面合,1.841232938675282e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
2.0,面合,1.2274886257835214e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
3.0,面合,1.841232938675282e-06,0.3333333333333333
2.0,面合,1.2274886257835214e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
4.0,面合,2.4549772515670428e-06,0.3333333333333333
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
3.0,面合,1.841232938675282e-06,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
2.0,面合,1.2274886257835214e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
7.0,面合,4.296210190242325e-06,0.3333333333333333
3.0,面合,1.841232938675282e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
3.0,面合,1.841232938675282e-06,0.3333333333333333
2.0,面合,1.2274886257835214e-06,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
1.0,面合,6.137443128917607e-07,0.3333333333333333
0.0,面合,0.0,0.3333333333333333
3.0,面合,1.841232938675282e-06,0.3333333333333333
2.0,面合,1.2274886257835214e-06,0.3333333333333333
26.0,面合,1.5957352135185777e-05,0.3333333333333333
13.0,面合,7.978676067592888e-06,0.3333333333333333
21.0,面合,1.2888630570726974e-05,0.3333333333333333
12.0,面合,7.364931754701128e-06,0.3333333333333333
26.0,面合,1.5957352135185777e-05,0.3333333333333333
8.0,面合,4.9099545031340856e-06,0.5
4.0,面合,2.4549772515670428e-06,0.5
11.0,面合,6.7511874418093674e-06,0.5
8.0,面合,4.9099545031340856e-06,0.5
7.0,面合,4.296210190242325e-06,0.5
7.0,面合,4.296210190242325e-06,0.5
13.0,面合,7.978676067592888e-06,0.6666666666666666
16.0,面合,9.819909006268171e-06,0.6666666666666666
7.0,面合,4.296210190242325e-06,0.6666666666666666
16.0,面合,9.819909006268171e-06,0.6666666666666666
7.0,面合,4.296210190242325e-06,0.6666666666666666
22.0,面合,1.3502374883618735e-05,0.6666666666666666
20.0,面合,1.2274886257835213e-05,0.6666666666666666
14.0,面合,8.59242038048465e-06,0.6666666666666666
15.0,面合,9.20616469337641e-06,0.6666666666666666
21.0,面合,1.2888630570726974e-05,0.6666666666666666
15.0,面合,9.20616469337641e-06,0.6666666666666666
40.0,面合,2.4549772515670426e-05,0.6666666666666666
18.0,面合,1.1047397632051691e-05,0.6666666666666666
24.0,面合,1.4729863509402257e-05,0.6666666666666666
47.0,面合,2.884598270591275e-05,0.6666666666666666
29.0,面合,1.7798585073861058e-05,0.6666666666666666
22.0,面合,1.3502374883618735e-05,0.6666666666666666
14.0,面合,8.59242038048465e-06,0.6666666666666666
35.0,面合,2.1481050951211623e-05,0.6666666666666666
16.0,面合,9.819909006268171e-06,0.6666666666666666
4.0,面合,2.4549772515670428e-06,0.6666666666666666
42.0,面合,2.5777261141453948e-05,0.6666666666666666
15.0,面合,9.20616469337641e-06,0.6666666666666666
5.0,面合,3.0687215644588033e-06,0.6666666666666666
33.0,面合,2.02535623254281e-05,0.6666666666666666
22.0,面合,1.3502374883618735e-05,0.6666666666666666
24.0,面合,1.4729863509402257e-05,0.6666666666666666
31.0,面合,1.902607369964458e-05,0.6666666666666666
10.0,面合,6.1374431289176065e-06,0.6666666666666666
14.0,面合,8.59242038048465e-06,0.6666666666666666
14.0,面合,8.59242038048465e-06,0.6666666666666666
13.0,面合,7.978676067592888e-06,0.6666666666666666
11.0,面合,6.7511874418093674e-06,0.6666666666666666
4.0,面合,2.4549772515670428e-06,0.6666666666666666
3.0,面合,1.841232938675282e-06,0.6666666666666666
15.0,面合,9.20616469337641e-06,0.6666666666666666
7.0,面合,4.296210190242325e-06,0.6666666666666666
3.0,面合,1.841232938675282e-06,0.6666666666666666
4.0,面合,2.4549772515670428e-06,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
5.0,面合,3.0687215644588033e-06,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
1.0,面合,6.137443128917607e-07,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
4.0,面合,2.4549772515670428e-06,0.6666666666666666
2.0,面合,1.2274886257835214e-06,0.6666666666666666
0.0,面合,0.0,0.6666666666666666
8.0,面合,4.9099545031340856e-06,0.6666666666666666
