날짜,해당조정단계_감염자비율,조정단계,지역
2020-08-22,4.824158332384947e-06,0.3333333333333333,강원
2020-08-23,4.4952384460859735e-06,0.6666666666666666,강원
2020-10-11,3.289198862989737e-07,0.6666666666666666,강원
2020-10-12,6.578397725979474e-07,0.3333333333333333,강원
2020-11-30,9.86759658896921e-06,0.3333333333333333,강원
2020-12-01,5.701278029182211e-06,0.5,강원
2020-12-06,5.262718180783579e-06,0.5,강원
2020-12-07,1.096399620996579e-05,0.6666666666666666,강원
2021-02-14,3.6181187492887106e-06,0.6666666666666666,강원
2021-02-15,3.7277587113883684e-06,0.5,강원
2021-06-13,8.661557005872973e-06,0.5,강원
2021-06-14,1.096399620996579e-07,0.3333333333333333,강원
