朝楼,犬柳磊荐,瘤开,厚啦,窜拌
2020-05-03,0.0,堡林,0.0,0.3333333333333333
2020-05-04,0.0,堡林,0.0,0.3333333333333333
2020-05-05,0.0,堡林,0.0,0.3333333333333333
2020-05-06,0.0,堡林,0.0,0.3333333333333333
2020-05-07,0.0,堡林,0.0,0.3333333333333333
2020-05-08,0.0,堡林,0.0,0.3333333333333333
2020-05-09,0.0,堡林,0.0,0.3333333333333333
2020-05-10,0.0,堡林,0.0,0.3333333333333333
2020-05-11,0.0,堡林,0.0,0.3333333333333333
2020-05-12,0.0,堡林,0.0,0.3333333333333333
2020-05-13,0.0,堡林,0.0,0.3333333333333333
2020-05-14,1.0,堡林,6.712625777825512e-07,0.3333333333333333
2020-05-15,0.0,堡林,0.0,0.3333333333333333
2020-05-16,0.0,堡林,0.0,0.3333333333333333
2020-05-17,0.0,堡林,0.0,0.3333333333333333
2020-05-18,0.0,堡林,0.0,0.3333333333333333
2020-05-19,0.0,堡林,0.0,0.3333333333333333
2020-05-20,0.0,堡林,0.0,0.3333333333333333
2020-05-21,0.0,堡林,0.0,0.3333333333333333
2020-05-22,0.0,堡林,0.0,0.3333333333333333
2020-05-23,0.0,堡林,0.0,0.3333333333333333
2020-05-24,0.0,堡林,0.0,0.3333333333333333
2020-05-25,0.0,堡林,0.0,0.3333333333333333
2020-05-26,0.0,堡林,0.0,0.3333333333333333
2020-05-27,0.0,堡林,0.0,0.3333333333333333
2020-05-28,0.0,堡林,0.0,0.3333333333333333
2020-05-29,0.0,堡林,0.0,0.3333333333333333
2020-05-30,0.0,堡林,0.0,0.3333333333333333
2020-05-31,0.0,堡林,0.0,0.3333333333333333
2020-06-01,0.0,堡林,0.0,0.3333333333333333
2020-06-02,1.0,堡林,6.712625777825512e-07,0.3333333333333333
2020-06-03,0.0,堡林,0.0,0.3333333333333333
2020-06-04,0.0,堡林,0.0,0.3333333333333333
2020-06-05,0.0,堡林,0.0,0.3333333333333333
2020-06-06,0.0,堡林,0.0,0.3333333333333333
2020-06-07,0.0,堡林,0.0,0.3333333333333333
2020-06-08,0.0,堡林,0.0,0.3333333333333333
2020-06-09,0.0,堡林,0.0,0.3333333333333333
2020-06-10,0.0,堡林,0.0,0.3333333333333333
2020-06-11,0.0,堡林,0.0,0.3333333333333333
2020-06-12,0.0,堡林,0.0,0.3333333333333333
2020-06-13,0.0,堡林,0.0,0.3333333333333333
2020-06-14,0.0,堡林,0.0,0.3333333333333333
2020-06-15,0.0,堡林,0.0,0.3333333333333333
2020-06-16,0.0,堡林,0.0,0.3333333333333333
2020-06-17,0.0,堡林,0.0,0.3333333333333333
2020-06-18,0.0,堡林,0.0,0.3333333333333333
2020-06-19,0.0,堡林,0.0,0.3333333333333333
2020-06-20,1.0,堡林,6.712625777825512e-07,0.3333333333333333
2020-06-21,0.0,堡林,0.0,0.3333333333333333
2020-06-22,0.0,堡林,0.0,0.3333333333333333
2020-06-23,0.0,堡林,0.0,0.3333333333333333
2020-06-24,0.0,堡林,0.0,0.3333333333333333
2020-06-25,0.0,堡林,0.0,0.3333333333333333
2020-06-26,0.0,堡林,0.0,0.3333333333333333
2020-06-27,4.0,堡林,2.685050311130205e-06,0.3333333333333333
2020-06-28,5.0,堡林,3.356312888912756e-06,0.3333333333333333
2020-06-29,1.0,堡林,6.712625777825512e-07,0.3333333333333333
2020-06-30,16.0,堡林,1.074020124452082e-05,0.3333333333333333
2020-07-01,22.0,堡林,1.4767776711216126e-05,0.3333333333333333
2020-07-02,4.0,堡林,2.685050311130205e-06,0.3333333333333333
2020-07-03,15.0,堡林,1.0068938666738268e-05,0.3333333333333333
2020-07-04,10.0,堡林,6.712625777825512e-06,0.3333333333333333
2020-07-05,5.0,堡林,3.356312888912756e-06,0.3333333333333333
